county,ppt_mm,tmin_degrees_c,tmean_degrees_c,tmax_degrees_c,vpdmin_h_pa,vpdmax_h_pa
Alameda,536.6844,8.652,15.252,21.856,1.5888,18.0296
Alpine,1014.0283999999999,-0.04000000000000001,6.384,12.836,2.958,13.0216
Amador,959.4232,8.776,15.22,21.652,3.8276,20.502
Butte,903.4908,10.144,17.096,24.048000000000002,3.686,24.3152
Calaveras,788.7396,8.492,15.896,23.308,2.876,23.1648
Colusa,406.6936,9.32,16.808,24.288,1.8876,22.942
Contra Costa,500.018,9.056000000000001,14.82,20.584,2.6596,16.6864
Del Norte,2353.0264,6.636,12.736,18.84,0.8236,13.1412
El Dorado,1270.3072,7.76,13.788,19.804,4.5364,19.0884
Fresno,283.8468,10.964,18.168,25.38,3.7284,26.3116
Glenn,477.2168,8.852,16.688,24.516000000000002,2.8564000000000003,25.456
Humboldt,1637.0104,7.456,12.252,17.072,2.014,10.1064
Imperial,54.6228,13.984,22.392,30.8,5.3448,37.0732
Inyo,135.3,7.832,14.592,21.36,6.7332,24.2152
Kern,222.676,11.216,18.336,25.476,4.8276,26.4264
Kings,183.1996,9.92,17.616,25.316,3.432,25.806
Lake,1047.0232,9.184,14.812,20.452,4.5424,19.5668
Lassen,435.616,0.8279999999999998,7.188,13.536,2.4168,13.4996
Los Angeles,484.2804,11.475999999999999,17.58,23.688,3.8084000000000002,20.3976
Madera,532.3332,8.948,16.436,23.916,3.6372,24.0432
Marin,931.0372,7.808,14.056000000000001,20.3,0.8024,13.424
Mariposa,927.3692,7.136,14.2,21.276,4.1048,20.896
Mendocino,1157.4992,5.952,13.46,20.976,0.5224000000000001,16.544
Merced,274.9604,8.312,16.376,24.436,1.2856,23.1028
Modoc,305.7504,1.808,8.856,15.912,2.0688,16.1252
Mono,451.2996,-1.4199999999999997,6.464,14.368,2.5168,15.1356
Monterey,432.4392,6.904,15.292,23.68,1.5296,21.8108
Napa,842.8392,8.54,15.452,22.348,2.1608,19.3464
Nevada,1651.6548,7.68,12.488,17.304,5.3248,16.0352
Orange,285.36,12.712,18.112000000000002,23.508,2.096,16.5748
Placer,1232.4552,8.452,14.888,21.308,4.2224,20.844
Plumas,1030.7108,3.812,9.484,15.16,3.6192,14.6472
Riverside,134.1788,11.304,18.456,25.612,6.926,29.588
Sacramento,462.7992,9.224,16.44,23.644,1.8848,21.738
San Benito,414.4656,9.568,15.46,21.348,5.2132,20.7324
San Bernardi,100.0204,13.18,20.7,28.228,9.6252,37.2464
San Diego,388.35,8.916,16.908,24.9,2.4852,23.7412
San Francisc,649.1304,10.044,13.96,17.872,1.2496,9.1984
San Joaquin,367.54,9.172,16.628,24.080000000000002,1.848,22.728
San Luis Obi,552.2032,4.972,14.656,24.336,1.5324,24.7408
San Mateo,761.614,8.62,13.764,18.916,1.2524,11.498
Santa Barbar,691.4824,12.032,17.224,22.44,5.4864,19.5716
Santa Clara,445.0064,8.996,15.424,21.852,1.9103999999999999,17.5624
Santa Cruz,810.328,8.332,13.968,19.608,0.8708,11.5664
Shasta,1279.7748,9.04,16.18,23.324,3.9264,25.0664
Sierra,1567.6704,1.216,6.928,12.616,2.5012,11.9
Siskiyou,423.6628,4.012,11.632,19.244,1.9296,19.1072
Solano,501.6832,8.9,15.908,22.916,1.4872,19.4204
Sonoma,1222.1416,8,14.812,21.624,1.132,16.552
Stanislaus,300.87239999999997,9.596,16.78,23.944,2.1972,22.0428
Sutter,470.652,9.348,16.708,24.076,1.9228,22.9244
Tehama,612.046,10.376,17.38,24.412,3.7428,25.792
Trinity,1138.1044,5.188,11.272,17.348,3.0263999999999998,15.768
Tulare,573.0724,8.427999999999999,15.768,23.116,4.3915999999999995,22.858
Tuolumne,1199.0848,5.736,11.1,16.472,4.236,15.3192
Ventura,465.2396,9.656,16.548000000000002,23.436,1.7796,18.9896
Yolo,487.7216,9.64,17.112,24.588,2.2152,23.7456
Yuba,722.9548,10.468,16.944,23.416,3.194,21.358
