county,avg_acres_burned,avg_fires_per_year,total_acres_burned,total_fires,USDM_index,longitude,latitude,elevation_m,date,ppt_mm,tmin_degrees_c,tmean_degrees_c,tmax_degrees_c,vpdmin_h_pa,vpdmax_h_pa,drought_index
Amador,43.411942133333326,3,130.23582639999998,3,D4,-120.65,38.44,763,2021,980.12,9.8,15.8,21.7,4.89,21.5,4
Calaveras,402.1581955,2,804.3163910000001,2,D4,-120.56,38.18,484,2021,772.12,8.7,16.2,23.6,3.51,25.02,4
El Dorado,30.09556785,6,180.5734071,6,D2,-120.53,38.79,1213,2021,1350.66,9.1,14.7,20.3,5.17,20.51,2
Fresno,50.3852659,14,705.3937226,14,D3,-119.66,36.76,104,2021,278.59,11.8,19,26.3,4.09,29.24,3
Humboldt,818.8870824333333,3,2456.6612473,3,D2,-123.93,40.71,698,2021,1267.33,8.2,12.5,16.8,2.52,11.91,2
Imperial,121.5283537,4,486.1134148,4,D2,-115.36,33.04,-17,2021,53.08,14,22.6,31.3,6.23,39.31,2
Inyo,183.61902645555557,9,1652.5712381000003,9,D4,-117.4,36.56,1511,2021,77.91,8.8,15.3,21.8,8.34,26.18,4
Kern,884.5601979131579,38,33613.287520699996,38,D3,-118.73,35.35,306,2021,171.86,12.6,19.4,26.2,7.08,29.29,3
Kings,92.3546066,1,92.3546066,1,D2,-119.82,36.07,56,2021,191.72,10.3,18.1,25.9,3.48,27.63,2
Lake,11.08847651111111,9,99.7962886,9,D3,-122.75,39.09,885,2021,872.9,9.5,15.2,21,4.23,20.91,3
Lassen,15032.386458185714,7,105226.7052073,7,D4,-120.63,40.72,2023,2021,507.38,2.3,8.3,14.2,2.97,14.43,4
Madera,4838.7831898,2,9677.5663796,2,D3,-119.75,37.21,511,2021,514.73,10.3,17.3,24.4,4.81,25.72,3
Mariposa,205.43014638333335,6,1232.5808783,6,D2,-119.91,37.57,1053,2021,814.29,9.2,15.6,22.1,5.79,22.99,2
Monterey,701.8972116666666,6,4211.38327,6,D4,-121.32,36.24,309,2021,501.99,7.2,15.7,24.3,1.55,23.13,4
Nevada,893.5100361666666,3,2680.5301084999996,3,D4,-120.77,39.3,1401,2021,1546.68,8.4,13.3,18.2,6.16,17.95,4
Orange,7.732994214285715,7,54.13095949999999,7,D3,-117.78,33.68,41,2021,228.03,12.1,17.1,22.1,1.48,14.48,3
Plumas,168.34003685,4,673.3601474,4,D4,-120.82,39.99,1819,2021,971.37,4,9.6,15.3,4.46,15.51,4
San Benito,74.81096685,2,149.6219337,2,D4,-121.09,36.61,924,2021,451.79,10.5,16.1,21.8,6.04,21.37,4
San Bernardino,258.3934121470588,17,4392.688006499999,17,D3,-116.18,34.86,591,2021,62.45,13.7,21,28.4,11.46,38.6,3
San Diego,381.6394406095237,21,8014.4282528,21,D2,-116.7761,33.02,514,2021,351.44,11.2,17.6,24.1,3.64,21.68,2
Santa Barbara,2855.209301633334,6,17131.2558098,6,D4,-120.04,34.54,708,2021,695.78,12.3,17.5,22.6,5.64,19.57,4
Santa Clara,67.25515366666667,3,201.765461,3,D2,-121.69,37.22,213,2021,501.34,8.7,15.6,22.4,1.78,18.98,2
Santa Cruz,20.76807078,5,103.8403539,5,D1,-122.01,37.01,67,2021,828.06,8.3,13.7,19.1,0.84,10.85,1
Solano,23.101222524999997,4,92.4048901,4,D4,-121.94,38.27,12,2021,540.01,9.1,16.6,24,1.67,22.74,4
Sonoma,5.157989635714285,14,72.2118549,14,D3,-122.93,38.53,176,2021,1073.9,8.3,15.2,22,1.4,17.76,3
Stanislaus,177.4074661666667,3,532.2223985,3,D2,-121,37.56,21,2021,345.45,10,17.2,24.4,2.35,23.67,2
Trinity,55805.18745185,4,223220.7498074,4,D4,-123.11,40.65,1306,2021,951.8,5.3,11.4,17.4,3.36,16.68,4
